Point,x,y,status
G_StartPoint,0.52,0.86,0
G_TrackPoint4,3.22,0.86,0
G_LoadingStation2,2.91,0.86,0
G_UnloadingStation2,2.19,0.86,0
G_TrackPoint3,1.04,2.06,0
G_TrackPoint2,0.52,2.06,0
G_TrackPoint1,1.04,0.86,0
G_UnloadingStation1,0.52,1.31,0
G_LoadingStation1,1.04,1.47,0
Y_StartPoint,0,0,0
Y_LoadingStation1,0.34,0,1
Y_TrackPoint1,1.15,0,0
Y_TrackPoint2,3.2,0,0
Y_UnloadingStation1,3.2,1.18,2
Y_Pick-upStation1,3.2,1.51,1
Y_TrackPoint3,3.2,1.67,0
Y_TrackPoint4,1.15,1.67,0
Y_ReturnStation1,1.15,0.38,2
P_ChargingStation1,0,0.44,0
P_LoadingStation1,2.76,1.44,0
P_LoadingStation2,3.3,1.44,0
P_LoadingStation3,0,0.13,0
P_StartPoint,0,0,0
P_TrackPoint1,3.3,0.44,0
P_TrackPoint2,2.76,0.44,0
P_TrackPoint3,0.59,0.44,0
P_TrackPoint4,0.59,0,0
P_UnloadingStation1,2.76,1.25,0
P_UnloadingStation2,3.3,1.25,0
P_UnloadingStation3,0,0.31,0
R_TrackPoint2,2.24,1.75,0
R_TrackPoint3,2.24,2.18,0
R_TrackPoint7,1.75,1.33,0
R_UnloadingStation2,1.75,1.08,0
R_TrackPoint8,1.72,0.85,0
R_TrackPoint9,1.75,0.88,0
R_TrackPoint18,1.75,0.86,0
R_LoadingStation2,1.72,0.68,0
R_TrackPoint4,1.72,0.47,0
R_TrackPoint5,1.69,0.45,0
R_TrackPoint11,1.64,0.45,0
R_UnloadingStation3,1.64,0.14,0
R_TrackPoint6,1.64,-0.02,0
R_StartPoint,1.12,2.18,0
R_TrackPoint1,1.12,1.75,0
R_LoadingStation1,1.96,1.75,0
R_ChargingStation1,1.65,1.75,0
R_UnloadingStation1,1.35,1.75,0
R_TrackPoint12,2.21,-0.02,0
R_TrackPoint13,2.24,0.92,0
R_TrackPoint14,2.24,0.47,0
R_TrackPoint15,2.24,0.45,0
R_TrackPoint16,2.21,0.37,0
R_TrackPoint17,2.24,1.36,0
